BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
2160	DEC	Adv[+WA] S Aux Never Verb                         	
2161	DEC	Adv[+WA] S Aux Never Verb O1                      	
2162	DEC	Adv[+WA] S Aux Never Verb O1 O2                   	
2163	DEC	Adv[+WA] S Aux Never Verb O1 O2 P O3              	
2164	DEC	Adv[+WA] S Aux Never Verb O1 P O3                 	
2165	DEC	Adv[+WA] S Aux Never Verb P O3                    	
2166	DEC	Adv[+WA] S Aux Not Verb                           	
2167	DEC	Adv[+WA] S Aux Not Verb O1                        	
2168	DEC	Adv[+WA] S Aux Not Verb O1 O2                     	
2169	DEC	Adv[+WA] S Aux Not Verb O1 O2 P O3                	
2170	DEC	Adv[+WA] S Aux Not Verb O1 P O3                   	
2171	DEC	Adv[+WA] S Aux Not Verb P O3                      	
2172	DEC	Adv[+WA] S Aux Verb                               	
2173	DEC	Adv[+WA] S Aux Verb O1                            	
2174	DEC	Adv[+WA] S Aux Verb O1 O2                         	
2175	DEC	Adv[+WA] S Aux Verb O1 O2 P O3                    	
2176	DEC	Adv[+WA] S Aux Verb O1 P O3                       	
2177	DEC	Adv[+WA] S Aux Verb P O3                          	
2196	DEC	Adv[+WA] S Never Verb                             	
2197	DEC	Adv[+WA] S Never Verb O1                          	
2198	DEC	Adv[+WA] S Never Verb O1 O2                       	
2199	DEC	Adv[+WA] S Never Verb O1 O2 P O3                  	
2200	DEC	Adv[+WA] S Never Verb O1 P O3                     	
2201	DEC	Adv[+WA] S Never Verb P O3                        	
2238	DEC	Adv[+WA] S Verb                                   	
2239	DEC	Adv[+WA] S Verb O1                                	
2240	DEC	Adv[+WA] S Verb O1 O2                             	
2241	DEC	Adv[+WA] S Verb O1 O2 P O3                        	
2242	DEC	Adv[+WA] S Verb O1 P O3                           	
2243	DEC	Adv[+WA] S Verb P O3                              	
6240	DEC	O1[+WA] S Aux Never Verb Adv                      	
6241	DEC	O1[+WA] S Aux Never Verb O2 Adv                   	
6242	DEC	O1[+WA] S Aux Never Verb O2 P O3 Adv              	
6243	DEC	O1[+WA] S Aux Never Verb O2 P O3                  	
6244	DEC	O1[+WA] S Aux Never Verb O2                       	
6245	DEC	O1[+WA] S Aux Never Verb P O3 Adv                 	
6246	DEC	O1[+WA] S Aux Never Verb P O3                     	
6247	DEC	O1[+WA] S Aux Never Verb                          	
6248	DEC	O1[+WA] S Aux Not Verb Adv                        	
6249	DEC	O1[+WA] S Aux Not Verb O2 Adv                     	
6250	DEC	O1[+WA] S Aux Not Verb O2 P O3 Adv                	
6251	DEC	O1[+WA] S Aux Not Verb O2 P O3                    	
6252	DEC	O1[+WA] S Aux Not Verb O2                         	
6253	DEC	O1[+WA] S Aux Not Verb P O3 Adv                   	
6254	DEC	O1[+WA] S Aux Not Verb P O3                       	
6255	DEC	O1[+WA] S Aux Not Verb                            	
6256	DEC	O1[+WA] S Aux Verb Adv                            	
6257	DEC	O1[+WA] S Aux Verb O2 Adv                         	
6258	DEC	O1[+WA] S Aux Verb O2 P O3 Adv                    	
6259	DEC	O1[+WA] S Aux Verb O2 P O3                        	
6260	DEC	O1[+WA] S Aux Verb O2                             	
6261	DEC	O1[+WA] S Aux Verb P O3 Adv                       	
6262	DEC	O1[+WA] S Aux Verb P O3                           	
6263	DEC	O1[+WA] S Aux Verb                                	
6288	DEC	O1[+WA] S Never Verb Adv                          	
6289	DEC	O1[+WA] S Never Verb O2 Adv                       	
6290	DEC	O1[+WA] S Never Verb O2 P O3 Adv                  	
6291	DEC	O1[+WA] S Never Verb O2 P O3                      	
6292	DEC	O1[+WA] S Never Verb O2                           	
6293	DEC	O1[+WA] S Never Verb P O3 Adv                     	
6294	DEC	O1[+WA] S Never Verb P O3                         	
6295	DEC	O1[+WA] S Never Verb                              	
6344	DEC	O1[+WA] S Verb Adv                                	
6345	DEC	O1[+WA] S Verb O2 Adv                             	
6346	DEC	O1[+WA] S Verb O2 P O3 Adv                        	
6347	DEC	O1[+WA] S Verb O2 P O3                            	
6348	DEC	O1[+WA] S Verb O2                                 	
6349	DEC	O1[+WA] S Verb P O3 Adv                           	
6350	DEC	O1[+WA] S Verb P O3                               	
6351	DEC	O1[+WA] S Verb                                    	
9280	DEC	O2[+WA] S Aux Never Verb O1 Adv                   	
9281	DEC	O2[+WA] S Aux Never Verb O1 P O3 Adv              	
9282	DEC	O2[+WA] S Aux Never Verb O1 P O3                  	
9283	DEC	O2[+WA] S Aux Never Verb O1                       	
9284	DEC	O2[+WA] S Aux Not Verb O1 Adv                     	
9285	DEC	O2[+WA] S Aux Not Verb O1 P O3 Adv                	
9286	DEC	O2[+WA] S Aux Not Verb O1 P O3                    	
9287	DEC	O2[+WA] S Aux Not Verb O1                         	
9288	DEC	O2[+WA] S Aux Verb O1 Adv                         	
9289	DEC	O2[+WA] S Aux Verb O1 P O3 Adv                    	
9290	DEC	O2[+WA] S Aux Verb O1 P O3                        	
9291	DEC	O2[+WA] S Aux Verb O1                             	
9304	DEC	O2[+WA] S Never Verb O1 Adv                       	
9305	DEC	O2[+WA] S Never Verb O1 P O3 Adv                  	
9306	DEC	O2[+WA] S Never Verb O1 P O3                      	
9307	DEC	O2[+WA] S Never Verb O1                           	
9332	DEC	O2[+WA] S Verb O1 Adv                             	
9333	DEC	O2[+WA] S Verb O1 P O3 Adv                        	
9334	DEC	O2[+WA] S Verb O1 P O3                            	
9335	DEC	O2[+WA] S Verb O1                                 	
12240	DEC	O3[+WA] S Aux Never Verb O1 O2 P Adv              	
12241	DEC	O3[+WA] S Aux Never Verb O1 O2 P                  	
12242	DEC	O3[+WA] S Aux Never Verb O1 P Adv                 	
12243	DEC	O3[+WA] S Aux Never Verb O1 P                     	
12244	DEC	O3[+WA] S Aux Never Verb P Adv                    	
12245	DEC	O3[+WA] S Aux Never Verb P                        	
12246	DEC	O3[+WA] S Aux Not Verb O1 O2 P Adv                	
12247	DEC	O3[+WA] S Aux Not Verb O1 O2 P                    	
12248	DEC	O3[+WA] S Aux Not Verb O1 P Adv                   	
12249	DEC	O3[+WA] S Aux Not Verb O1 P                       	
12250	DEC	O3[+WA] S Aux Not Verb P Adv                      	
12251	DEC	O3[+WA] S Aux Not Verb P                          	
12252	DEC	O3[+WA] S Aux Verb O1 O2 P Adv                    	
12253	DEC	O3[+WA] S Aux Verb O1 O2 P                        	
12254	DEC	O3[+WA] S Aux Verb O1 P Adv                       	
12255	DEC	O3[+WA] S Aux Verb O1 P                           	
12256	DEC	O3[+WA] S Aux Verb P Adv                          	
12257	DEC	O3[+WA] S Aux Verb P                              	
12276	DEC	O3[+WA] S Never Verb O1 O2 P Adv                  	
12277	DEC	O3[+WA] S Never Verb O1 O2 P                      	
12278	DEC	O3[+WA] S Never Verb O1 P Adv                     	
12279	DEC	O3[+WA] S Never Verb O1 P                         	
12280	DEC	O3[+WA] S Never Verb P Adv                        	
12281	DEC	O3[+WA] S Never Verb P                            	
12318	DEC	O3[+WA] S Verb O1 O2 P Adv                        	
12319	DEC	O3[+WA] S Verb O1 O2 P                            	
12320	DEC	O3[+WA] S Verb O1 P Adv                           	
12321	DEC	O3[+WA] S Verb O1 P                               	
12322	DEC	O3[+WA] S Verb P Adv                              	
12323	DEC	O3[+WA] S Verb P                                  	
16936	DEC	S[+WA] Aux Never Verb Adv                         	
16937	DEC	S[+WA] Aux Never Verb O1 Adv                      	
16938	DEC	S[+WA] Aux Never Verb O1 O2 Adv                   	
16939	DEC	S[+WA] Aux Never Verb O1 O2 P O3 Adv              	
16940	DEC	S[+WA] Aux Never Verb O1 O2 P O3                  	
16941	DEC	S[+WA] Aux Never Verb O1 O2                       	
16942	DEC	S[+WA] Aux Never Verb O1 P O3 Adv                 	
16943	DEC	S[+WA] Aux Never Verb O1 P O3                     	
16944	DEC	S[+WA] Aux Never Verb O1                          	
16945	DEC	S[+WA] Aux Never Verb P O3 Adv                    	
16946	DEC	S[+WA] Aux Never Verb P O3                        	
16947	DEC	S[+WA] Aux Never Verb                             	
16948	DEC	S[+WA] Aux Not Verb Adv                           	
16949	DEC	S[+WA] Aux Not Verb O1 Adv                        	
16950	DEC	S[+WA] Aux Not Verb O1 O2 Adv                     	
16951	DEC	S[+WA] Aux Not Verb O1 O2 P O3 Adv                	
16952	DEC	S[+WA] Aux Not Verb O1 O2 P O3                    	
16953	DEC	S[+WA] Aux Not Verb O1 O2                         	
16954	DEC	S[+WA] Aux Not Verb O1 P O3 Adv                   	
16955	DEC	S[+WA] Aux Not Verb O1 P O3                       	
16956	DEC	S[+WA] Aux Not Verb O1                            	
16957	DEC	S[+WA] Aux Not Verb P O3 Adv                      	
16958	DEC	S[+WA] Aux Not Verb P O3                          	
16959	DEC	S[+WA] Aux Not Verb                               	
16960	DEC	S[+WA] Aux Verb Adv                               	
16961	DEC	S[+WA] Aux Verb O1 Adv                            	
16962	DEC	S[+WA] Aux Verb O1 O2 Adv                         	
16963	DEC	S[+WA] Aux Verb O1 O2 P O3 Adv                    	
16964	DEC	S[+WA] Aux Verb O1 O2 P O3                        	
16965	DEC	S[+WA] Aux Verb O1 O2                             	
16966	DEC	S[+WA] Aux Verb O1 P O3 Adv                       	
16967	DEC	S[+WA] Aux Verb O1 P O3                           	
16968	DEC	S[+WA] Aux Verb O1                                	
16969	DEC	S[+WA] Aux Verb P O3 Adv                          	
16970	DEC	S[+WA] Aux Verb P O3                              	
16971	DEC	S[+WA] Aux Verb                                   	
17032	DEC	S[+WA] Never Verb Adv                             	
17033	DEC	S[+WA] Never Verb O1 Adv                          	
17034	DEC	S[+WA] Never Verb O1 O2 Adv                       	
17035	DEC	S[+WA] Never Verb O1 O2 P O3 Adv                  	
17036	DEC	S[+WA] Never Verb O1 O2 P O3                      	
17037	DEC	S[+WA] Never Verb O1 O2                           	
17038	DEC	S[+WA] Never Verb O1 P O3 Adv                     	
17039	DEC	S[+WA] Never Verb O1 P O3                         	
17040	DEC	S[+WA] Never Verb O1                              	
17041	DEC	S[+WA] Never Verb P O3 Adv                        	
17042	DEC	S[+WA] Never Verb P O3                            	
17043	DEC	S[+WA] Never Verb                                 	
17103	DEC	S[+WA] Verb Adv                                   	
17104	DEC	S[+WA] Verb O1 Adv                                	
17105	DEC	S[+WA] Verb O1 O2 Adv                             	
17106	DEC	S[+WA] Verb O1 O2 P O3 Adv                        	
17107	DEC	S[+WA] Verb O1 O2 P O3                            	
17108	DEC	S[+WA] Verb O1 O2                                 	
17109	DEC	S[+WA] Verb O1 P O3 Adv                           	
17110	DEC	S[+WA] Verb O1 P O3                               	
17111	DEC	S[+WA] Verb O1                                    	
17112	DEC	S[+WA] Verb P O3 Adv                              	
17113	DEC	S[+WA] Verb P O3                                  	
17114	DEC	S[+WA] Verb                                       	
18420	DEC	S Aux Never Verb Adv                              	
18421	DEC	S Aux Never Verb O1 Adv                           	
18422	DEC	S Aux Never Verb O1 O2 Adv                        	
18423	DEC	S Aux Never Verb O1 O2 P O3 Adv                   	
18424	DEC	S Aux Never Verb O1 O2 P O3                       	
18425	DEC	S Aux Never Verb O1 O2                            	
18426	DEC	S Aux Never Verb O1 P O3 Adv                      	
18427	DEC	S Aux Never Verb O1 P O3                          	
18428	DEC	S Aux Never Verb O1                               	
18429	DEC	S Aux Never Verb P O3 Adv                         	
18430	DEC	S Aux Never Verb P O3                             	
18431	DEC	S Aux Never Verb                                  	
18432	DEC	S Aux Not Verb Adv                                	
18433	DEC	S Aux Not Verb O1 Adv                             	
18434	DEC	S Aux Not Verb O1 O2 Adv                          	
18435	DEC	S Aux Not Verb O1 O2 P O3 Adv                     	
18436	DEC	S Aux Not Verb O1 O2 P O3                         	
18437	DEC	S Aux Not Verb O1 O2                              	
18438	DEC	S Aux Not Verb O1 P O3 Adv                        	
18439	DEC	S Aux Not Verb O1 P O3                            	
18440	DEC	S Aux Not Verb O1                                 	
18441	DEC	S Aux Not Verb P O3 Adv                           	
18442	DEC	S Aux Not Verb P O3                               	
18443	DEC	S Aux Not Verb                                    	
18444	DEC	S Aux Verb Adv                                    	
18445	DEC	S Aux Verb O1 Adv                                 	
18446	DEC	S Aux Verb O1 O2 Adv                              	
18447	DEC	S Aux Verb O1 O2 P O3 Adv                         	
18448	DEC	S Aux Verb O1 O2 P O3                             	
18449	DEC	S Aux Verb O1 O2                                  	
18450	DEC	S Aux Verb O1 P O3 Adv                            	
18451	DEC	S Aux Verb O1 P O3                                	
18452	DEC	S Aux Verb O1                                     	
18453	DEC	S Aux Verb P O3 Adv                               	
18454	DEC	S Aux Verb P O3                                   	
18455	DEC	S Aux Verb                                        	
18516	DEC	S Never Verb Adv                                  	
18517	DEC	S Never Verb O1 Adv                               	
18518	DEC	S Never Verb O1 O2 Adv                            	
18519	DEC	S Never Verb O1 O2 P O3 Adv                       	
18520	DEC	S Never Verb O1 O2 P O3                           	
