BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
1632	DEC	Adv O1 Verb Not Aux S                             	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv](NegBar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]""O1"(V"Verb")))(Neg"Not")))(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1634	DEC	Adv O2 O1 Verb Not Aux S                          	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv](NegBar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]""O2""O1"(V"Verb")))(Neg"Not")))(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1636	DEC	Adv O3 P O1 Verb Not Aux S                        	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv](NegBar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(PP"O3""P")"O1"(V"Verb")))(Neg"Not")))(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1638	DEC	Adv O3 P O2 O1 Verb Not Aux S                     	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv](NegBar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(PP"O3""P")"O2""O1"(V"Verb")))(Neg"Not")))(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1640	DEC	Adv O3 P Verb Not Aux S                           	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv](NegBar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(PP"O3""P")(V"Verb")))(Neg"Not")))(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1642	DEC	Adv Verb Not Aux S                                	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv](NegBar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(V"Verb")))(Neg"Not")))(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1644	DEC	Adv O1 Verb Never Aux S                           	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv](Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]""O1"(V"Verb"))))"Never")(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1646	DEC	Adv O2 O1 Verb Never Aux S                        	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv](Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]""O2""O1"(V"Verb"))))"Never")(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1648	DEC	Adv O3 P O1 Verb Never Aux S                      	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv](Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(PP"O3""P")"O1"(V"Verb"))))"Never")(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1650	DEC	Adv O3 P O2 O1 Verb Never Aux S                   	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv](Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(PP"O3""P")"O2""O1"(V"Verb"))))"Never")(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1652	DEC	Adv O3 P Verb Never Aux S                         	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv](Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(PP"O3""P")(V"Verb"))))"Never")(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1654	DEC	Adv Verb Never Aux S                              	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv](Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(V"Verb"))))"Never")(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1656	DEC	Adv O1 Not Verb S                                 	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv][SLASH Verb](NegBar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb]"Adv[+NULL][SLASH Adv]""O1"(V[SLASH Verb]"Verb[+NULL][SLASH Verb]")))(Neg"Not")))(I[ILLOC DEC][+FIN]"Verb[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1658	DEC	Adv O2 O1 Not Verb S                              	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv][SLASH Verb](NegBar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb]"Adv[+NULL][SLASH Adv]""O2""O1"(V[SLASH Verb]"Verb[+NULL][SLASH Verb]")))(Neg"Not")))(I[ILLOC DEC][+FIN]"Verb[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1660	DEC	Adv O3 P O1 Not Verb S                            	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv][SLASH Verb](NegBar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb]"Adv[+NULL][SLASH Adv]"(PP"O3""P")"O1"(V[SLASH Verb]"Verb[+NULL][SLASH Verb]")))(Neg"Not")))(I[ILLOC DEC][+FIN]"Verb[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1662	DEC	Adv O3 P O2 O1 Not Verb S                         	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv][SLASH Verb](NegBar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb]"Adv[+NULL][SLASH Adv]"(PP"O3""P")"O2""O1"(V[SLASH Verb]"Verb[+NULL][SLASH Verb]")))(Neg"Not")))(I[ILLOC DEC][+FIN]"Verb[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1664	DEC	Adv O3 P Not Verb S                               	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv][SLASH Verb](NegBar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb]"Adv[+NULL][SLASH Adv]"(PP"O3""P")(V[SLASH Verb]"Verb[+NULL][SLASH Verb]")))(Neg"Not")))(I[ILLOC DEC][+FIN]"Verb[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1666	DEC	Adv Not Verb S                                    	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv][SLASH Verb](NegBar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb]"Adv[+NULL][SLASH Adv]"(V[SLASH Verb]"Verb[+NULL][SLASH Verb]")))(Neg"Not")))(I[ILLOC DEC][+FIN]"Verb[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1668	DEC	Adv O1 Never Verb S                               	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv][SLASH Verb](Negbar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb]"Adv[+NULL][SLASH Adv]""O1"(V[SLASH Verb]"Verb[+NULL][SLASH Verb]"))))"Never")(I[ILLOC DEC][+FIN]"Verb[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1670	DEC	Adv O2 O1 Never Verb S                            	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv][SLASH Verb](Negbar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb]"Adv[+NULL][SLASH Adv]""O2""O1"(V[SLASH Verb]"Verb[+NULL][SLASH Verb]"))))"Never")(I[ILLOC DEC][+FIN]"Verb[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1672	DEC	Adv O3 P O1 Never Verb S                          	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv][SLASH Verb](Negbar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb]"Adv[+NULL][SLASH Adv]"(PP"O3""P")"O1"(V[SLASH Verb]"Verb[+NULL][SLASH Verb]"))))"Never")(I[ILLOC DEC][+FIN]"Verb[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1674	DEC	Adv O3 P O2 O1 Never Verb S                       	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv][SLASH Verb](Negbar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb]"Adv[+NULL][SLASH Adv]"(PP"O3""P")"O2""O1"(V[SLASH Verb]"Verb[+NULL][SLASH Verb]"))))"Never")(I[ILLOC DEC][+FIN]"Verb[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1676	DEC	Adv O3 P Never Verb S                             	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv][SLASH Verb](Negbar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb]"Adv[+NULL][SLASH Adv]"(PP"O3""P")(V[SLASH Verb]"Verb[+NULL][SLASH Verb]"))))"Never")(I[ILLOC DEC][+FIN]"Verb[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1678	DEC	Adv Never Verb S                                  	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[SLASH Adv][SLASH Verb](Negbar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb]"Adv[+NULL][SLASH Adv]"(V[SLASH Verb]"Verb[+NULL][SLASH Verb]"))))"Never")(I[ILLOC DEC][+FIN]"Verb[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1704	DEC	Adv O1 Verb Aux S                                 	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]""O1"(V"Verb")))(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1706	DEC	Adv O2 O1 Verb Aux S                              	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]""O2""O1"(V"Verb")))(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1708	DEC	Adv O3 P O1 Verb Aux S                            	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(PP"O3""P")"O1"(V"Verb")))(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1710	DEC	Adv O3 P O2 O1 Verb Aux S                         	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(PP"O3""P")"O2""O1"(V"Verb")))(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
1712	DEC	Adv O3 P Verb Aux S                               	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](IP[ILLOC DEC][+FIN][SLASH Adv](Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv]"Adv[+NULL][SLASH Adv]"(PP"O3""P")(V"Verb")))(I[ILLOC DEC][+FIN]"Aux[+FIN]"))"S")(C[ILLOC DEC][+FIN]"THAT[+NULL]")))       7688	
