BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
3180	DEC	Adv[+WA] O1 Verb Not S Aux                        	
3182	DEC	Adv[+WA] O2 O1 Verb Not S Aux                     	
3184	DEC	Adv[+WA] O3 P O1 Verb Not S Aux                   	
3186	DEC	Adv[+WA] O3 P O2 O1 Verb Not S Aux                	
3188	DEC	Adv[+WA] O3 P Verb Not S Aux                      	
3190	DEC	Adv[+WA] Verb Not S Aux                           	
3192	DEC	Adv[+WA] O1 Verb Never S Aux                      	
3194	DEC	Adv[+WA] O2 O1 Verb Never S Aux                   	
3196	DEC	Adv[+WA] O3 P O1 Verb Never S Aux                 	
3198	DEC	Adv[+WA] O3 P O2 O1 Verb Never S Aux              	
3200	DEC	Adv[+WA] O3 P Verb Never S Aux                    	
3202	DEC	Adv[+WA] Verb Never S Aux                         	
3204	DEC	Adv[+WA] O1 Verb S Aux                            	
3206	DEC	Adv[+WA] O2 O1 Verb S Aux                         	
3208	DEC	Adv[+WA] O3 P O1 Verb S Aux                       	
3210	DEC	Adv[+WA] O3 P O2 O1 Verb S Aux                    	
3212	DEC	Adv[+WA] O3 P Verb S Aux                          	
3214	DEC	Adv[+WA] Verb S Aux                               	
7600	DEC	O1[+WA] Adv Verb Not S Aux                        	
7602	DEC	O1[+WA] Adv O2 Verb Not S Aux                     	
7604	DEC	O1[+WA] Adv O3 P Verb Not S Aux                   	
7606	DEC	O1[+WA] Adv O3 P O2 Verb Not S Aux                	
7608	DEC	O1[+WA] Verb Not S Aux                            	
7610	DEC	O1[+WA] O2 Verb Not S Aux                         	
7612	DEC	O1[+WA] O3 P Verb Not S Aux                       	
7614	DEC	O1[+WA] O3 P O2 Verb Not S Aux                    	
7616	DEC	O1[+WA] Adv Verb Never S Aux                      	
7618	DEC	O1[+WA] Adv O2 Verb Never S Aux                   	
7620	DEC	O1[+WA] Adv O3 P Verb Never S Aux                 	
7622	DEC	O1[+WA] Adv O3 P O2 Verb Never S Aux              	
7624	DEC	O1[+WA] Verb Never S Aux                          	
7626	DEC	O1[+WA] O2 Verb Never S Aux                       	
7628	DEC	O1[+WA] O3 P Verb Never S Aux                     	
7630	DEC	O1[+WA] O3 P O2 Verb Never S Aux                  	
7632	DEC	O1[+WA] Adv Verb S Aux                            	
7634	DEC	O1[+WA] Adv O2 Verb S Aux                         	
7636	DEC	O1[+WA] Adv O3 P Verb S Aux                       	
7638	DEC	O1[+WA] Adv O3 P O2 Verb S Aux                    	
7640	DEC	O1[+WA] Verb S Aux                                	
7642	DEC	O1[+WA] O2 Verb S Aux                             	
7644	DEC	O1[+WA] O3 P Verb S Aux                           	
7646	DEC	O1[+WA] O3 P O2 Verb S Aux                        	
9960	DEC	O2[+WA] Adv O1 Verb Not S Aux                     	
9962	DEC	O2[+WA] Adv O3 P O1 Verb Not S Aux                	
9964	DEC	O2[+WA] O1 Verb Not S Aux                         	
9966	DEC	O2[+WA] O3 P O1 Verb Not S Aux                    	
9968	DEC	O2[+WA] Adv O1 Verb Never S Aux                   	
9970	DEC	O2[+WA] Adv O3 P O1 Verb Never S Aux              	
9972	DEC	O2[+WA] O1 Verb Never S Aux                       	
9974	DEC	O2[+WA] O3 P O1 Verb Never S Aux                  	
9976	DEC	O2[+WA] Adv O1 Verb S Aux                         	
9978	DEC	O2[+WA] Adv O3 P O1 Verb S Aux                    	
9980	DEC	O2[+WA] O1 Verb S Aux                             	
9982	DEC	O2[+WA] O3 P O1 Verb S Aux                        	
17952	DEC	S[+WA] Adv O1 Verb Not Aux                        	
17953	DEC	S[+WA] Adv O2 O1 Verb Not Aux                     	
17954	DEC	S[+WA] Adv O3 P O1 Verb Not Aux                   	
17955	DEC	S[+WA] Adv O3 P O2 O1 Verb Not Aux                	
17956	DEC	S[+WA] Adv O3 P Verb Not Aux                      	
17957	DEC	S[+WA] Adv Verb Not Aux                           	
17958	DEC	S[+WA] O1 Verb Not Aux                            	
17959	DEC	S[+WA] O2 O1 Verb Not Aux                         	
17960	DEC	S[+WA] O3 P O1 Verb Not Aux                       	
17961	DEC	S[+WA] O3 P O2 O1 Verb Not Aux                    	
17962	DEC	S[+WA] O3 P Verb Not Aux                          	
17963	DEC	S[+WA] Verb Not Aux                               	
17964	DEC	S[+WA] Adv O1 Verb Never Aux                      	
17965	DEC	S[+WA] Adv O2 O1 Verb Never Aux                   	
17966	DEC	S[+WA] Adv O3 P O1 Verb Never Aux                 	
17967	DEC	S[+WA] Adv O3 P O2 O1 Verb Never Aux              	
17968	DEC	S[+WA] Adv O3 P Verb Never Aux                    	
17969	DEC	S[+WA] Adv Verb Never Aux                         	
17970	DEC	S[+WA] O1 Verb Never Aux                          	
17971	DEC	S[+WA] O2 O1 Verb Never Aux                       	
17972	DEC	S[+WA] O3 P O1 Verb Never Aux                     	
17973	DEC	S[+WA] O3 P O2 O1 Verb Never Aux                  	
17974	DEC	S[+WA] O3 P Verb Never Aux                        	
17975	DEC	S[+WA] Verb Never Aux                             	
17976	DEC	S[+WA] Adv O1 Verb Aux                            	
17977	DEC	S[+WA] Adv O2 O1 Verb Aux                         	
17978	DEC	S[+WA] Adv O3 P O1 Verb Aux                       	
17979	DEC	S[+WA] Adv O3 P O2 O1 Verb Aux                    	
17980	DEC	S[+WA] Adv O3 P Verb Aux                          	
17981	DEC	S[+WA] Adv Verb Aux                               	
17982	DEC	S[+WA] O1 Verb Aux                                	
17983	DEC	S[+WA] O2 O1 Verb Aux                             	
17984	DEC	S[+WA] O3 P O1 Verb Aux                           	
17985	DEC	S[+WA] O3 P O2 O1 Verb Aux                        	
17986	DEC	S[+WA] O3 P Verb Aux                              	
17987	DEC	S[+WA] Verb Aux                                   	
22720	DEC	O3 P[+WA] Adv O1 Verb Not S Aux                   	
22722	DEC	O3 P[+WA] Adv O2 O1 Verb Not S Aux                	
22724	DEC	O3 P[+WA] Adv Verb Not S Aux                      	
22726	DEC	O3 P[+WA] O1 Verb Not S Aux                       	
22728	DEC	O3 P[+WA] O2 O1 Verb Not S Aux                    	
22730	DEC	O3 P[+WA] Verb Not S Aux                          	
22732	DEC	O3 P[+WA] Adv O1 Verb Never S Aux                 	
22734	DEC	O3 P[+WA] Adv O2 O1 Verb Never S Aux              	
22736	DEC	O3 P[+WA] Adv Verb Never S Aux                    	
22738	DEC	O3 P[+WA] O1 Verb Never S Aux                     	
22740	DEC	O3 P[+WA] O2 O1 Verb Never S Aux                  	
22742	DEC	O3 P[+WA] Verb Never S Aux                        	
22744	DEC	O3 P[+WA] Adv O1 Verb S Aux                       	
22746	DEC	O3 P[+WA] Adv O2 O1 Verb S Aux                    	
22748	DEC	O3 P[+WA] Adv Verb S Aux                          	
22750	DEC	O3 P[+WA] O1 Verb S Aux                           	
22752	DEC	O3 P[+WA] O2 O1 Verb S Aux                        	
22754	DEC	O3 P[+WA] Verb S Aux                              	
23752	IMP	Adv O1 Verb Not                                   	
23753	IMP	Adv O2 O1 Verb Not                                	
23754	IMP	Adv O3 P O1 Verb Not                              	
23755	IMP	Adv O3 P O2 O1 Verb Not                           	
23756	IMP	Adv O3 P Verb Not                                 	
23757	IMP	Adv Verb Not                                      	
23758	IMP	O1 Verb Not                                       	
23759	IMP	O2 O1 Verb Not                                    	
23760	IMP	O3 P O1 Verb Not                                  	
23761	IMP	O3 P O2 O1 Verb Not                               	
23762	IMP	O3 P Verb Not                                     	
23763	IMP	Verb Not                                          	
23764	IMP	Adv O1 Verb Never                                 	
23765	IMP	Adv O2 O1 Verb Never                              	
23766	IMP	Adv O3 P O1 Verb Never                            	
23767	IMP	Adv O3 P O2 O1 Verb Never                         	
23768	IMP	Adv O3 P Verb Never                               	
23769	IMP	Adv Verb Never                                    	
23770	IMP	O1 Verb Never                                     	
23771	IMP	O2 O1 Verb Never                                  	
23772	IMP	O3 P O1 Verb Never                                	
23773	IMP	O3 P O2 O1 Verb Never                             	
23774	IMP	O3 P Verb Never                                   	
23775	IMP	Verb Never                                        	
23776	IMP	Adv O1 Verb                                       	
23777	IMP	Adv O2 O1 Verb                                    	
23778	IMP	Adv O3 P O1 Verb                                  	
23779	IMP	Adv O3 P O2 O1 Verb                               	
23780	IMP	Adv O3 P Verb                                     	
23781	IMP	Adv Verb                                          	
23782	IMP	O1 Verb                                           	
23783	IMP	O2 O1 Verb                                        	
23784	IMP	O3 P O1 Verb                                      	
23785	IMP	O3 P O2 O1 Verb                                   	
23786	IMP	O3 P Verb                                         	
23787	IMP	Verb                                              	
26108	Q  	Adv O1 Verb Not S Aux                             	
26110	Q  	Adv O2 O1 Verb Not S Aux                          	
26112	Q  	Adv O3 P O1 Verb Not S Aux                        	
26114	Q  	Adv O3 P O2 O1 Verb Not S Aux                     	
26116	Q  	Adv O3 P Verb Not S Aux                           	
26118	Q  	Adv Verb Not S Aux                                	
26120	Q  	O1 Verb Not S Aux                                 	
26122	Q  	O2 O1 Verb Not S Aux                              	
26124	Q  	O3 P O1 Verb Not S Aux                            	
26126	Q  	O3 P O2 O1 Verb Not S Aux                         	
26128	Q  	O3 P Verb Not S Aux                               	
26130	Q  	Verb Not S Aux                                    	
26132	Q  	Adv O1 Verb Never S Aux                           	
26134	Q  	Adv O2 O1 Verb Never S Aux                        	
26136	Q  	Adv O3 P O1 Verb Never S Aux                      	
26138	Q  	Adv O3 P O2 O1 Verb Never S Aux                   	
26140	Q  	Adv O3 P Verb Never S Aux                         	
26142	Q  	Adv Verb Never S Aux                              	
26144	Q  	O1 Verb Never S Aux                               	
26146	Q  	O2 O1 Verb Never S Aux                            	
26148	Q  	O3 P O1 Verb Never S Aux                          	
26150	Q  	O3 P O2 O1 Verb Never S Aux                       	
26152	Q  	O3 P Verb Never S Aux                             	
26154	Q  	Verb Never S Aux                                  	
26156	Q  	Adv O1 Verb S Aux                                 	
26158	Q  	Adv O2 O1 Verb S Aux                              	
26160	Q  	Adv O3 P O1 Verb S Aux                            	
26162	Q  	Adv O3 P O2 O1 Verb S Aux                         	
26164	Q  	Adv O3 P Verb S Aux                               	
26166	Q  	Adv Verb S Aux                                    	
