BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
2736	DEC	Adv[+WA] S O1 Verb Not Aux                        	
2737	DEC	Adv[+WA] S O2 O1 Verb Not Aux                     	
2738	DEC	Adv[+WA] S O3 P O1 Verb Not Aux                   	
2739	DEC	Adv[+WA] S O3 P O2 O1 Verb Not Aux                	
2740	DEC	Adv[+WA] S O3 P Verb Not Aux                      	
2741	DEC	Adv[+WA] S Verb Not Aux                           	
2742	DEC	Adv[+WA] S O1 Verb Never Aux                      	
2743	DEC	Adv[+WA] S O2 O1 Verb Never Aux                   	
2744	DEC	Adv[+WA] S O3 P O1 Verb Never Aux                 	
2745	DEC	Adv[+WA] S O3 P O2 O1 Verb Never Aux              	
2746	DEC	Adv[+WA] S O3 P Verb Never Aux                    	
2747	DEC	Adv[+WA] S Verb Never Aux                         	
2772	DEC	Adv[+WA] S O1 Verb Aux                            	
2773	DEC	Adv[+WA] S O2 O1 Verb Aux                         	
2774	DEC	Adv[+WA] S O3 P O1 Verb Aux                       	
2775	DEC	Adv[+WA] S O3 P O2 O1 Verb Aux                    	
2776	DEC	Adv[+WA] S O3 P Verb Aux                          	
2777	DEC	Adv[+WA] S Verb Aux                               	
7008	DEC	O1[+WA] S Adv Verb Not Aux                        	
7009	DEC	O1[+WA] S Adv O2 Verb Not Aux                     	
7010	DEC	O1[+WA] S Adv O3 P Verb Not Aux                   	
7011	DEC	O1[+WA] S Adv O3 P O2 Verb Not Aux                	
7012	DEC	O1[+WA] S Verb Not Aux                            	
7013	DEC	O1[+WA] S O2 Verb Not Aux                         	
7014	DEC	O1[+WA] S O3 P Verb Not Aux                       	
7015	DEC	O1[+WA] S O3 P O2 Verb Not Aux                    	
7016	DEC	O1[+WA] S Adv Verb Never Aux                      	
7017	DEC	O1[+WA] S Adv O2 Verb Never Aux                   	
7018	DEC	O1[+WA] S Adv O3 P Verb Never Aux                 	
7019	DEC	O1[+WA] S Adv O3 P O2 Verb Never Aux              	
7020	DEC	O1[+WA] S Verb Never Aux                          	
7021	DEC	O1[+WA] S O2 Verb Never Aux                       	
7022	DEC	O1[+WA] S O3 P Verb Never Aux                     	
7023	DEC	O1[+WA] S O3 P O2 Verb Never Aux                  	
7056	DEC	O1[+WA] S Adv Verb Aux                            	
7057	DEC	O1[+WA] S Adv O2 Verb Aux                         	
7058	DEC	O1[+WA] S Adv O3 P Verb Aux                       	
7059	DEC	O1[+WA] S Adv O3 P O2 Verb Aux                    	
7060	DEC	O1[+WA] S Verb Aux                                	
7061	DEC	O1[+WA] S O2 Verb Aux                             	
7062	DEC	O1[+WA] S O3 P Verb Aux                           	
7063	DEC	O1[+WA] S O3 P O2 Verb Aux                        	
9664	DEC	O2[+WA] S Adv O1 Verb Not Aux                     	
9665	DEC	O2[+WA] S Adv O3 P O1 Verb Not Aux                	
9666	DEC	O2[+WA] S O1 Verb Not Aux                         	
9667	DEC	O2[+WA] S O3 P O1 Verb Not Aux                    	
9668	DEC	O2[+WA] S Adv O1 Verb Never Aux                   	
9669	DEC	O2[+WA] S Adv O3 P O1 Verb Never Aux              	
9670	DEC	O2[+WA] S O1 Verb Never Aux                       	
9671	DEC	O2[+WA] S O3 P O1 Verb Never Aux                  	
9688	DEC	O2[+WA] S Adv O1 Verb Aux                         	
9689	DEC	O2[+WA] S Adv O3 P O1 Verb Aux                    	
9690	DEC	O2[+WA] S O1 Verb Aux                             	
9691	DEC	O2[+WA] S O3 P O1 Verb Aux                        	
17534	DEC	S[+WA] Adv O1 Verb Not Aux                        	
17535	DEC	S[+WA] Adv O2 O1 Verb Not Aux                     	
17536	DEC	S[+WA] Adv O3 P O1 Verb Not Aux                   	
17537	DEC	S[+WA] Adv O3 P O2 O1 Verb Not Aux                	
17538	DEC	S[+WA] Adv O3 P Verb Not Aux                      	
17539	DEC	S[+WA] Adv Verb Not Aux                           	
17540	DEC	S[+WA] O1 Verb Not Aux                            	
17541	DEC	S[+WA] O2 O1 Verb Not Aux                         	
17542	DEC	S[+WA] O3 P O1 Verb Not Aux                       	
17543	DEC	S[+WA] O3 P O2 O1 Verb Not Aux                    	
17544	DEC	S[+WA] O3 P Verb Not Aux                          	
17545	DEC	S[+WA] Verb Not Aux                               	
17546	DEC	S[+WA] Adv O1 Verb Never Aux                      	
17547	DEC	S[+WA] Adv O2 O1 Verb Never Aux                   	
17548	DEC	S[+WA] Adv O3 P O1 Verb Never Aux                 	
17549	DEC	S[+WA] Adv O3 P O2 O1 Verb Never Aux              	
17550	DEC	S[+WA] Adv O3 P Verb Never Aux                    	
17551	DEC	S[+WA] Adv Verb Never Aux                         	
17552	DEC	S[+WA] O1 Verb Never Aux                          	
17553	DEC	S[+WA] O2 O1 Verb Never Aux                       	
17554	DEC	S[+WA] O3 P O1 Verb Never Aux                     	
17555	DEC	S[+WA] O3 P O2 O1 Verb Never Aux                  	
17556	DEC	S[+WA] O3 P Verb Never Aux                        	
17557	DEC	S[+WA] Verb Never Aux                             	
17606	DEC	S[+WA] Adv O1 Verb Aux                            	
17607	DEC	S[+WA] Adv O2 O1 Verb Aux                         	
17608	DEC	S[+WA] Adv O3 P O1 Verb Aux                       	
17609	DEC	S[+WA] Adv O3 P O2 O1 Verb Aux                    	
17610	DEC	S[+WA] Adv O3 P Verb Aux                          	
17611	DEC	S[+WA] Adv Verb Aux                               	
17612	DEC	S[+WA] O1 Verb Aux                                	
17613	DEC	S[+WA] O2 O1 Verb Aux                             	
17614	DEC	S[+WA] O3 P O1 Verb Aux                           	
17615	DEC	S[+WA] O3 P O2 O1 Verb Aux                        	
17616	DEC	S[+WA] O3 P Verb Aux                              	
17617	DEC	S[+WA] Verb Aux                                   	
22498	DEC	O3 P[+WA] S Adv O1 Verb Not Aux                   	
22499	DEC	O3 P[+WA] S Adv O2 O1 Verb Not Aux                	
22500	DEC	O3 P[+WA] S Adv Verb Not Aux                      	
22501	DEC	O3 P[+WA] S O1 Verb Not Aux                       	
22502	DEC	O3 P[+WA] S O2 O1 Verb Not Aux                    	
22503	DEC	O3 P[+WA] S Verb Not Aux                          	
22504	DEC	O3 P[+WA] S Adv O1 Verb Never Aux                 	
22505	DEC	O3 P[+WA] S Adv O2 O1 Verb Never Aux              	
22506	DEC	O3 P[+WA] S Adv Verb Never Aux                    	
22507	DEC	O3 P[+WA] S O1 Verb Never Aux                     	
22508	DEC	O3 P[+WA] S O2 O1 Verb Never Aux                  	
22509	DEC	O3 P[+WA] S Verb Never Aux                        	
22528	DEC	O3 P[+WA] S Adv O1 Verb Aux                       	
22529	DEC	O3 P[+WA] S Adv O2 O1 Verb Aux                    	
22530	DEC	O3 P[+WA] S Adv Verb Aux                          	
22531	DEC	O3 P[+WA] S O1 Verb Aux                           	
22532	DEC	O3 P[+WA] S O2 O1 Verb Aux                        	
22533	DEC	O3 P[+WA] S Verb Aux                              	
23680	IMP	Adv O1 Verb Not                                   	
23681	IMP	Adv O2 O1 Verb Not                                	
23682	IMP	Adv O3 P O1 Verb Not                              	
23683	IMP	Adv O3 P O2 O1 Verb Not                           	
23684	IMP	Adv O3 P Verb Not                                 	
23685	IMP	Adv Verb Not                                      	
23686	IMP	O1 Verb Not                                       	
23687	IMP	O2 O1 Verb Not                                    	
23688	IMP	O3 P O1 Verb Not                                  	
23689	IMP	O3 P O2 O1 Verb Not                               	
23690	IMP	O3 P Verb Not                                     	
23691	IMP	Verb Not                                          	
23692	IMP	Adv O1 Verb Never                                 	
23693	IMP	Adv O2 O1 Verb Never                              	
23694	IMP	Adv O3 P O1 Verb Never                            	
23695	IMP	Adv O3 P O2 O1 Verb Never                         	
23696	IMP	Adv O3 P Verb Never                               	
23697	IMP	Adv Verb Never                                    	
23698	IMP	O1 Verb Never                                     	
23699	IMP	O2 O1 Verb Never                                  	
23700	IMP	O3 P O1 Verb Never                                	
23701	IMP	O3 P O2 O1 Verb Never                             	
23702	IMP	O3 P Verb Never                                   	
23703	IMP	Verb Never                                        	
23704	IMP	Adv O1 Verb                                       	
23705	IMP	Adv O2 O1 Verb                                    	
23706	IMP	Adv O3 P O1 Verb                                  	
23707	IMP	Adv O3 P O2 O1 Verb                               	
23708	IMP	Adv O3 P Verb                                     	
23709	IMP	Adv Verb                                          	
23710	IMP	O1 Verb                                           	
23711	IMP	O2 O1 Verb                                        	
23712	IMP	O3 P O1 Verb                                      	
23713	IMP	O3 P O2 O1 Verb                                   	
23714	IMP	O3 P Verb                                         	
23715	IMP	Verb                                              	
25200	Q  	S Adv O1 Verb Not Aux ka                          	
25201	Q  	S Adv O2 O1 Verb Not Aux ka                       	
25202	Q  	S Adv O3 P O1 Verb Not Aux ka                     	
25203	Q  	S Adv O3 P O2 O1 Verb Not Aux ka                  	
25204	Q  	S Adv O3 P Verb Not Aux ka                        	
25205	Q  	S Adv Verb Not Aux ka                             	
25206	Q  	S O1 Verb Not Aux ka                              	
25207	Q  	S O2 O1 Verb Not Aux ka                           	
25208	Q  	S O3 P O1 Verb Not Aux ka                         	
25209	Q  	S O3 P O2 O1 Verb Not Aux ka                      	
25210	Q  	S O3 P Verb Not Aux ka                            	
25211	Q  	S Verb Not Aux ka                                 	
25212	Q  	S Adv O1 Verb Never Aux ka                        	
25213	Q  	S Adv O2 O1 Verb Never Aux ka                     	
25214	Q  	S Adv O3 P O1 Verb Never Aux ka                   	
25215	Q  	S Adv O3 P O2 O1 Verb Never Aux ka                	
25216	Q  	S Adv O3 P Verb Never Aux ka                      	
25217	Q  	S Adv Verb Never Aux ka                           	
25218	Q  	S O1 Verb Never Aux ka                            	
25219	Q  	S O2 O1 Verb Never Aux ka                         	
25220	Q  	S O3 P O1 Verb Never Aux ka                       	
25221	Q  	S O3 P O2 O1 Verb Never Aux ka                    	
25222	Q  	S O3 P Verb Never Aux ka                          	
25223	Q  	S Verb Never Aux ka                               	
25272	Q  	S Adv O1 Verb Aux ka                              	
25273	Q  	S Adv O2 O1 Verb Aux ka                           	
25274	Q  	S Adv O3 P O1 Verb Aux ka                         	
25275	Q  	S Adv O3 P O2 O1 Verb Aux ka                      	
25276	Q  	S Adv O3 P Verb Aux ka                            	
25277	Q  	S Adv Verb Aux ka                                 	
25278	Q  	S O1 Verb Aux ka                                  	
25279	Q  	S O2 O1 Verb Aux ka                               	
25280	Q  	S O3 P O1 Verb Aux ka                             	
25281	Q  	S O3 P O2 O1 Verb Aux ka                          	
25282	Q  	S O3 P Verb Aux ka                                	
25283	Q  	S Verb Aux ka                                     	
32252	Q  	Adv[+WA] S O1[+WH] Verb Not Aux ka                	
32253	Q  	Adv[+WA] S O2 O1[+WH] Verb Not Aux ka             	
32254	Q  	Adv[+WA] S O2[+WH] O1 Verb Not Aux ka             	
32255	Q  	Adv[+WA] S O3 P O1[+WH] Verb Not Aux ka           	
32256	Q  	Adv[+WA] S O3 P O2 O1[+WH] Verb Not Aux ka        	
32257	Q  	Adv[+WA] S O3 P O2[+WH] O1 Verb Not Aux ka        	
32258	Q  	Adv[+WA] S O3[+WH] P O1 Verb Not Aux ka           	
32259	Q  	Adv[+WA] S O3[+WH] P O2 O1 Verb Not Aux ka        	
32260	Q  	Adv[+WA] S O3[+WH] P Verb Not Aux ka              	
32261	Q  	Adv[+WA] S O1[+WH] Verb Never Aux ka              	
32262	Q  	Adv[+WA] S O2 O1[+WH] Verb Never Aux ka           	
32263	Q  	Adv[+WA] S O2[+WH] O1 Verb Never Aux ka           	
32264	Q  	Adv[+WA] S O3 P O1[+WH] Verb Never Aux ka         	
32265	Q  	Adv[+WA] S O3 P O2 O1[+WH] Verb Never Aux ka      	
32266	Q  	Adv[+WA] S O3 P O2[+WH] O1 Verb Never Aux ka      	
32267	Q  	Adv[+WA] S O3[+WH] P O1 Verb Never Aux ka         	
32268	Q  	Adv[+WA] S O3[+WH] P O2 O1 Verb Never Aux ka      	
32269	Q  	Adv[+WA] S O3[+WH] P Verb Never Aux ka            	
32306	Q  	Adv[+WA] S O1[+WH] Verb Aux ka                    	
32307	Q  	Adv[+WA] S O2 O1[+WH] Verb Aux ka                 	
32308	Q  	Adv[+WA] S O2[+WH] O1 Verb Aux ka                 	
32309	Q  	Adv[+WA] S O3 P O1[+WH] Verb Aux ka               	
32310	Q  	Adv[+WA] S O3 P O2 O1[+WH] Verb Aux ka            	
32311	Q  	Adv[+WA] S O3 P O2[+WH] O1 Verb Aux ka            	
32312	Q  	Adv[+WA] S O3[+WH] P O1 Verb Aux ka               	
32313	Q  	Adv[+WA] S O3[+WH] P O2 O1 Verb Aux ka            	
32314	Q  	Adv[+WA] S O3[+WH] P Verb Aux ka                  	
32516	Q  	Adv[+WA] S[+WH] O1 Verb Not Aux ka                	
32517	Q  	Adv[+WA] S[+WH] O2 O1 Verb Not Aux ka             	
32518	Q  	Adv[+WA] S[+WH] O3 P O1 Verb Not Aux ka           	
32519	Q  	Adv[+WA] S[+WH] O3 P O2 O1 Verb Not Aux ka        	
32520	Q  	Adv[+WA] S[+WH] O3 P Verb Not Aux ka              	
32521	Q  	Adv[+WA] S[+WH] Verb Not Aux ka                   	
32522	Q  	Adv[+WA] S[+WH] O1 Verb Never Aux ka              	
32523	Q  	Adv[+WA] S[+WH] O2 O1 Verb Never Aux ka           	
32524	Q  	Adv[+WA] S[+WH] O3 P O1 Verb Never Aux ka         	
32525	Q  	Adv[+WA] S[+WH] O3 P O2 O1 Verb Never Aux ka      	
32526	Q  	Adv[+WA] S[+WH] O3 P Verb Never Aux ka            	
32527	Q  	Adv[+WA] S[+WH] Verb Never Aux ka                 	
32552	Q  	Adv[+WA] S[+WH] O1 Verb Aux ka                    	
32553	Q  	Adv[+WA] S[+WH] O2 O1 Verb Aux ka                 	
32554	Q  	Adv[+WA] S[+WH] O3 P O1 Verb Aux ka               	
32555	Q  	Adv[+WA] S[+WH] O3 P O2 O1 Verb Aux ka            	
32556	Q  	Adv[+WA] S[+WH] O3 P Verb Aux ka                  	
32557	Q  	Adv[+WA] S[+WH] Verb Aux ka                       	
34244	Q  	Adv[+WH][+WA] S O1 Verb Not Aux ka                	
34245	Q  	Adv[+WH][+WA] S O2 O1 Verb Not Aux ka             	
34246	Q  	Adv[+WH][+WA] S O3 P O1 Verb Not Aux ka           	
34247	Q  	Adv[+WH][+WA] S O3 P O2 O1 Verb Not Aux ka        	
34248	Q  	Adv[+WH][+WA] S O3 P Verb Not Aux ka              	
34249	Q  	Adv[+WH][+WA] S Verb Not Aux ka                   	
34250	Q  	Adv[+WH][+WA] S O1 Verb Never Aux ka              	
34251	Q  	Adv[+WH][+WA] S O2 O1 Verb Never Aux ka           	
34252	Q  	Adv[+WH][+WA] S O3 P O1 Verb Never Aux ka         	
34253	Q  	Adv[+WH][+WA] S O3 P O2 O1 Verb Never Aux ka      	
34254	Q  	Adv[+WH][+WA] S O3 P Verb Never Aux ka            	
34255	Q  	Adv[+WH][+WA] S Verb Never Aux ka                 	
34280	Q  	Adv[+WH][+WA] S O1 Verb Aux ka                    	
34281	Q  	Adv[+WH][+WA] S O2 O1 Verb Aux ka                 	
