BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
2016	DEC	Adv[+WA] Aux S Never Verb                         	
2017	DEC	Adv[+WA] Aux S Never Verb O1                      	
2018	DEC	Adv[+WA] Aux S Never Verb O1 O2                   	
2019	DEC	Adv[+WA] Aux S Never Verb O1 O2 P O3              	
2020	DEC	Adv[+WA] Aux S Never Verb O1 P O3                 	
2021	DEC	Adv[+WA] Aux S Never Verb P O3                    	
2022	DEC	Adv[+WA] Aux S Not Verb                           	
2023	DEC	Adv[+WA] Aux S Not Verb O1                        	
2024	DEC	Adv[+WA] Aux S Not Verb O1 O2                     	
2025	DEC	Adv[+WA] Aux S Not Verb O1 O2 P O3                	
2026	DEC	Adv[+WA] Aux S Not Verb O1 P O3                   	
2027	DEC	Adv[+WA] Aux S Not Verb P O3                      	
2028	DEC	Adv[+WA] Aux S Verb                               	
2029	DEC	Adv[+WA] Aux S Verb O1                            	
2030	DEC	Adv[+WA] Aux S Verb O1 O2                         	
2031	DEC	Adv[+WA] Aux S Verb O1 O2 P O3                    	
2032	DEC	Adv[+WA] Aux S Verb O1 P O3                       	
2033	DEC	Adv[+WA] Aux S Verb P O3                          	
2544	DEC	Adv[+WA] Verb S Never                             	
2545	DEC	Adv[+WA] Verb S Never O1                          	
2546	DEC	Adv[+WA] Verb S Never O1 O2                       	
2547	DEC	Adv[+WA] Verb S Never O1 O2 P O3                  	
2548	DEC	Adv[+WA] Verb S Never O1 P O3                     	
2549	DEC	Adv[+WA] Verb S Never P O3                        	
2550	DEC	Adv[+WA] Verb S Not                               	
2551	DEC	Adv[+WA] Verb S Not O1                            	
2552	DEC	Adv[+WA] Verb S Not O1 O2                         	
2553	DEC	Adv[+WA] Verb S Not O1 O2 P O3                    	
2554	DEC	Adv[+WA] Verb S Not O1 P O3                       	
2555	DEC	Adv[+WA] Verb S Not P O3                          	
2556	DEC	Adv[+WA] Verb S                                   	
2557	DEC	Adv[+WA] Verb S O1                                	
2558	DEC	Adv[+WA] Verb S O1 O2                             	
2559	DEC	Adv[+WA] Verb S O1 O2 P O3                        	
2560	DEC	Adv[+WA] Verb S O1 P O3                           	
2561	DEC	Adv[+WA] Verb S P O3                              	
6048	DEC	O1[+WA] Aux S Never Verb Adv                      	
6049	DEC	O1[+WA] Aux S Never Verb O2 Adv                   	
6050	DEC	O1[+WA] Aux S Never Verb O2 P O3 Adv              	
6051	DEC	O1[+WA] Aux S Never Verb O2 P O3                  	
6052	DEC	O1[+WA] Aux S Never Verb O2                       	
6053	DEC	O1[+WA] Aux S Never Verb P O3 Adv                 	
6054	DEC	O1[+WA] Aux S Never Verb P O3                     	
6055	DEC	O1[+WA] Aux S Never Verb                          	
6056	DEC	O1[+WA] Aux S Not Verb Adv                        	
6057	DEC	O1[+WA] Aux S Not Verb O2 Adv                     	
6058	DEC	O1[+WA] Aux S Not Verb O2 P O3 Adv                	
6059	DEC	O1[+WA] Aux S Not Verb O2 P O3                    	
6060	DEC	O1[+WA] Aux S Not Verb O2                         	
6061	DEC	O1[+WA] Aux S Not Verb P O3 Adv                   	
6062	DEC	O1[+WA] Aux S Not Verb P O3                       	
6063	DEC	O1[+WA] Aux S Not Verb                            	
6064	DEC	O1[+WA] Aux S Verb Adv                            	
6065	DEC	O1[+WA] Aux S Verb O2 Adv                         	
6066	DEC	O1[+WA] Aux S Verb O2 P O3 Adv                    	
6067	DEC	O1[+WA] Aux S Verb O2 P O3                        	
6068	DEC	O1[+WA] Aux S Verb O2                             	
6069	DEC	O1[+WA] Aux S Verb P O3 Adv                       	
6070	DEC	O1[+WA] Aux S Verb P O3                           	
6071	DEC	O1[+WA] Aux S Verb                                	
6752	DEC	O1[+WA] Verb S Never Adv                          	
6753	DEC	O1[+WA] Verb S Never O2 Adv                       	
6754	DEC	O1[+WA] Verb S Never O2 P O3 Adv                  	
6755	DEC	O1[+WA] Verb S Never O2 P O3                      	
6756	DEC	O1[+WA] Verb S Never O2                           	
6757	DEC	O1[+WA] Verb S Never P O3 Adv                     	
6758	DEC	O1[+WA] Verb S Never P O3                         	
6759	DEC	O1[+WA] Verb S Never                              	
6760	DEC	O1[+WA] Verb S Not Adv                            	
6761	DEC	O1[+WA] Verb S Not O2 Adv                         	
6762	DEC	O1[+WA] Verb S Not O2 P O3 Adv                    	
6763	DEC	O1[+WA] Verb S Not O2 P O3                        	
6764	DEC	O1[+WA] Verb S Not O2                             	
6765	DEC	O1[+WA] Verb S Not P O3 Adv                       	
6766	DEC	O1[+WA] Verb S Not P O3                           	
6767	DEC	O1[+WA] Verb S Not                                	
6768	DEC	O1[+WA] Verb S Adv                                	
6769	DEC	O1[+WA] Verb S O2 Adv                             	
6770	DEC	O1[+WA] Verb S O2 P O3 Adv                        	
6771	DEC	O1[+WA] Verb S O2 P O3                            	
6772	DEC	O1[+WA] Verb S O2                                 	
6773	DEC	O1[+WA] Verb S P O3 Adv                           	
6774	DEC	O1[+WA] Verb S P O3                               	
6775	DEC	O1[+WA] Verb S                                    	
9184	DEC	O2[+WA] Aux S Never Verb O1 Adv                   	
9185	DEC	O2[+WA] Aux S Never Verb O1 P O3 Adv              	
9186	DEC	O2[+WA] Aux S Never Verb O1 P O3                  	
9187	DEC	O2[+WA] Aux S Never Verb O1                       	
