BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
826	DEC	Adv S Aux Not Verb O1 P O3                        	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH Adv](NegBar[SLASH Adv](Neg"Not")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))          8	
827	DEC	Adv S Aux Not Verb P O3                           	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH Adv](NegBar[SLASH Adv](Neg"Not")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))          8	
828	DEC	Adv S Aux Verb                                    	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"Adv[+NULL][SLASH Adv]"))))))          8	
829	DEC	Adv S Aux Verb O1                                 	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1""Adv[+NULL][SLASH Adv]"))))))          8	
830	DEC	Adv S Aux Verb O1 O2                              	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1""O2""Adv[+NULL][SLASH Adv]"))))))          8	
831	DEC	Adv S Aux Verb O1 O2 P O3                         	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1""O2"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))          8	
832	DEC	Adv S Aux Verb O1 P O3                            	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))          8	
833	DEC	Adv S Aux Verb P O3                               	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))          8	
834	DEC	Adv S Verb Never                                  	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(NegP[SLASH Adv][SLASH Verb]"Never"(Negbar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"Adv[+NULL][SLASH Adv]"))))))))          8	
835	DEC	Adv S Verb Never O1                               	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(NegP[SLASH Adv][SLASH Verb]"Never"(Negbar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"O1""Adv[+NULL][SLASH Adv]"))))))))          8	
836	DEC	Adv S Verb Never O1 O2                            	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(NegP[SLASH Adv][SLASH Verb]"Never"(Negbar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"O1""O2""Adv[+NULL][SLASH Adv]"))))))))          8	
837	DEC	Adv S Verb Never O1 O2 P O3                       	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(NegP[SLASH Adv][SLASH Verb]"Never"(Negbar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"O1""O2"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))          8	
838	DEC	Adv S Verb Never O1 P O3                          	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(NegP[SLASH Adv][SLASH Verb]"Never"(Negbar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"O1"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))          8	
839	DEC	Adv S Verb Never P O3                             	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(NegP[SLASH Adv][SLASH Verb]"Never"(Negbar[SLASH Adv][SLASH Verb](VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))          8	
840	DEC	Adv S Verb Not                                    	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(NegP[SLASH Adv][SLASH Verb](NegBar[SLASH Adv][SLASH Verb](Neg"Not")(VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"Adv[+NULL][SLASH Adv]"))))))))          8	
841	DEC	Adv S Verb Not O1                                 	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(NegP[SLASH Adv][SLASH Verb](NegBar[SLASH Adv][SLASH Verb](Neg"Not")(VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"O1""Adv[+NULL][SLASH Adv]"))))))))          8	
842	DEC	Adv S Verb Not O1 O2                              	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(NegP[SLASH Adv][SLASH Verb](NegBar[SLASH Adv][SLASH Verb](Neg"Not")(VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"O1""O2""Adv[+NULL][SLASH Adv]"))))))))          8	
843	DEC	Adv S Verb Not O1 O2 P O3                         	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(NegP[SLASH Adv][SLASH Verb](NegBar[SLASH Adv][SLASH Verb](Neg"Not")(VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"O1""O2"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))          8	
844	DEC	Adv S Verb Not O1 P O3                            	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(NegP[SLASH Adv][SLASH Verb](NegBar[SLASH Adv][SLASH Verb](Neg"Not")(VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"O1"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))          8	
845	DEC	Adv S Verb Not P O3                               	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(NegP[SLASH Adv][SLASH Verb](NegBar[SLASH Adv][SLASH Verb](Neg"Not")(VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))          8	
846	DEC	Adv S Verb                                        	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"Adv[+NULL][SLASH Adv]"))))))          8	
847	DEC	Adv S Verb O1                                     	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"O1""Adv[+NULL][SLASH Adv]"))))))          8	
848	DEC	Adv S Verb O1 O2                                  	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"O1""O2""Adv[+NULL][SLASH Adv]"))))))          8	
849	DEC	Adv S Verb O1 O2 P O3                             	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"O1""O2"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))          8	
850	DEC	Adv S Verb O1 P O3                                	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")"O1"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))          8	
851	DEC	Adv S Verb P O3                                   	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Verb[+FIN]")(VP[SLASH Adv][SLASH Verb](Vbar[SLASH Adv][SLASH Verb](V[SLASH Verb]"Verb[+NULL][SLASH Verb]")(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))          8	
4448	DEC	O1 S Aux Never Verb Adv                           	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1]"Never"(Negbar[SLASH O1](VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""Adv"))))))))          8	
4449	DEC	O1 S Aux Never Verb O2 Adv                        	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1]"Never"(Negbar[SLASH O1](VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""O2""Adv"))))))))          8	
4450	DEC	O1 S Aux Never Verb O2 P O3 Adv                   	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1]"Never"(Negbar[SLASH O1](VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""O2"(PP"P""O3")"Adv"))))))))          8	
4451	DEC	O1 S Aux Never Verb O2 P O3                       	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1]"Never"(Negbar[SLASH O1](VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""O2"(PP"P""O3")))))))))          8	
4452	DEC	O1 S Aux Never Verb O2                            	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1]"Never"(Negbar[SLASH O1](VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""O2"))))))))          8	
4453	DEC	O1 S Aux Never Verb P O3 Adv                      	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1]"Never"(Negbar[SLASH O1](VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]"(PP"P""O3")"Adv"))))))))          8	
4454	DEC	O1 S Aux Never Verb P O3                          	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1]"Never"(Negbar[SLASH O1](VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]"(PP"P""O3")))))))))          8	
4455	DEC	O1 S Aux Never Verb                               	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1]"Never"(Negbar[SLASH O1](VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]"))))))))          8	
4456	DEC	O1 S Aux Not Verb Adv                             	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1](NegBar[SLASH O1](Neg"Not")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""Adv"))))))))          8	
4457	DEC	O1 S Aux Not Verb O2 Adv                          	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1](NegBar[SLASH O1](Neg"Not")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""O2""Adv"))))))))          8	
