BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
864	DEC	Adv S O1 Verb Not Aux                             	
865	DEC	Adv S O2 O1 Verb Not Aux                          	
866	DEC	Adv S O3 P O1 Verb Not Aux                        	
867	DEC	Adv S O3 P O2 O1 Verb Not Aux                     	
868	DEC	Adv S O3 P Verb Not Aux                           	
869	DEC	Adv S Verb Not Aux                                	
870	DEC	Adv S O1 Verb Never Aux                           	
871	DEC	Adv S O2 O1 Verb Never Aux                        	
872	DEC	Adv S O3 P O1 Verb Never Aux                      	
873	DEC	Adv S O3 P O2 O1 Verb Never Aux                   	
874	DEC	Adv S O3 P Verb Never Aux                         	
875	DEC	Adv S Verb Never Aux                              	
900	DEC	Adv S O1 Verb Aux                                 	
901	DEC	Adv S O2 O1 Verb Aux                              	
902	DEC	Adv S O3 P O1 Verb Aux                            	
903	DEC	Adv S O3 P O2 O1 Verb Aux                         	
904	DEC	Adv S O3 P Verb Aux                               	
905	DEC	Adv S Verb Aux                                    	
4512	DEC	O1 S Adv Verb Not Aux                             	
4513	DEC	O1 S Adv O2 Verb Not Aux                          	
4514	DEC	O1 S Adv O3 P Verb Not Aux                        	
4515	DEC	O1 S Adv O3 P O2 Verb Not Aux                     	
4516	DEC	O1 S Verb Not Aux                                 	
4517	DEC	O1 S O2 Verb Not Aux                              	
4518	DEC	O1 S O3 P Verb Not Aux                            	
4519	DEC	O1 S O3 P O2 Verb Not Aux                         	
4520	DEC	O1 S Adv Verb Never Aux                           	
4521	DEC	O1 S Adv O2 Verb Never Aux                        	
4522	DEC	O1 S Adv O3 P Verb Never Aux                      	
4523	DEC	O1 S Adv O3 P O2 Verb Never Aux                   	
4524	DEC	O1 S Verb Never Aux                               	
4525	DEC	O1 S O2 Verb Never Aux                            	
4526	DEC	O1 S O3 P Verb Never Aux                          	
4527	DEC	O1 S O3 P O2 Verb Never Aux                       	
4560	DEC	O1 S Adv Verb Aux                                 	
4561	DEC	O1 S Adv O2 Verb Aux                              	
4562	DEC	O1 S Adv O3 P Verb Aux                            	
4563	DEC	O1 S Adv O3 P O2 Verb Aux                         	
4564	DEC	O1 S Verb Aux                                     	
4565	DEC	O1 S O2 Verb Aux                                  	
4566	DEC	O1 S O3 P Verb Aux                                	
4567	DEC	O1 S O3 P O2 Verb Aux                             	
8416	DEC	O2 S Adv O1 Verb Not Aux                          	
8417	DEC	O2 S Adv O3 P O1 Verb Not Aux                     	
8418	DEC	O2 S O1 Verb Not Aux                              	
8419	DEC	O2 S O3 P O1 Verb Not Aux                         	
8420	DEC	O2 S Adv O1 Verb Never Aux                        	
8421	DEC	O2 S Adv O3 P O1 Verb Never Aux                   	
8422	DEC	O2 S O1 Verb Never Aux                            	
8423	DEC	O2 S O3 P O1 Verb Never Aux                       	
8440	DEC	O2 S Adv O1 Verb Aux                              	
8441	DEC	O2 S Adv O3 P O1 Verb Aux                         	
8442	DEC	O2 S O1 Verb Aux                                  	
8443	DEC	O2 S O3 P O1 Verb Aux                             	
15668	DEC	S Adv O1 Verb Not Aux                             	
15669	DEC	S Adv O2 O1 Verb Not Aux                          	
15670	DEC	S Adv O3 P O1 Verb Not Aux                        	
15671	DEC	S Adv O3 P O2 O1 Verb Not Aux                     	
15672	DEC	S Adv O3 P Verb Not Aux                           	
15673	DEC	S Adv Verb Not Aux                                	
15674	DEC	S O1 Verb Not Aux                                 	
15675	DEC	S O2 O1 Verb Not Aux                              	
15676	DEC	S O3 P O1 Verb Not Aux                            	
15677	DEC	S O3 P O2 O1 Verb Not Aux                         	
15678	DEC	S O3 P Verb Not Aux                               	
15679	DEC	S Verb Not Aux                                    	
15680	DEC	S Adv O1 Verb Never Aux                           	
15681	DEC	S Adv O2 O1 Verb Never Aux                        	
15682	DEC	S Adv O3 P O1 Verb Never Aux                      	
15683	DEC	S Adv O3 P O2 O1 Verb Never Aux                   	
15684	DEC	S Adv O3 P Verb Never Aux                         	
15685	DEC	S Adv Verb Never Aux                              	
15686	DEC	S O1 Verb Never Aux                               	
15687	DEC	S O2 O1 Verb Never Aux                            	
15688	DEC	S O3 P O1 Verb Never Aux                          	
15689	DEC	S O3 P O2 O1 Verb Never Aux                       	
15690	DEC	S O3 P Verb Never Aux                             	
15691	DEC	S Verb Never Aux                                  	
15740	DEC	S Adv O1 Verb Aux                                 	
15741	DEC	S Adv O2 O1 Verb Aux                              	
15742	DEC	S Adv O3 P O1 Verb Aux                            	
15743	DEC	S Adv O3 P O2 O1 Verb Aux                         	
15744	DEC	S Adv O3 P Verb Aux                               	
15745	DEC	S Adv Verb Aux                                    	
15746	DEC	S O1 Verb Aux                                     	
15747	DEC	S O2 O1 Verb Aux                                  	
15748	DEC	S O3 P O1 Verb Aux                                	
15749	DEC	S O3 P O2 O1 Verb Aux                             	
15750	DEC	S O3 P Verb Aux                                   	
