UR #	ILLOC	SR	
826	DEC	Adv S Aux Not Verb O1 P O3                        	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH Adv](NegBar[SLASH Adv](Neg"Not")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))        611	
827	DEC	Adv S Aux Not Verb P O3                           	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH Adv](NegBar[SLASH Adv](Neg"Not")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))        611	
828	DEC	Adv S Aux Verb                                    	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"Adv[+NULL][SLASH Adv]"))))))        611	
829	DEC	Adv S Aux Verb O1                                 	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1""Adv[+NULL][SLASH Adv]"))))))        611	
830	DEC	Adv S Aux Verb O1 O2                              	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1""O2""Adv[+NULL][SLASH Adv]"))))))        611	
831	DEC	Adv S Aux Verb O1 O2 P O3                         	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1""O2"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))        611	
832	DEC	Adv S Aux Verb O1 P O3                            	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))        611	
833	DEC	Adv S Aux Verb P O3                               	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))        611	
852	DEC	Adv S Never Verb                                  	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[+FIN][SLASH Adv]"Never"(Negbar[+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"Adv[+NULL][SLASH Adv]"))))))))        611	
853	DEC	Adv S Never Verb O1                               	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[+FIN][SLASH Adv]"Never"(Negbar[+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1""Adv[+NULL][SLASH Adv]"))))))))        611	
