UR #	ILLOC	SR	
4459	DEC	O1 S Aux Not Verb O2 P O3                         	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1](NegBar[SLASH O1](Neg"Not")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""O2"(PP"P""O3")))))))))        611	
4460	DEC	O1 S Aux Not Verb O2                              	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1](NegBar[SLASH O1](Neg"Not")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""O2"))))))))        611	
4461	DEC	O1 S Aux Not Verb P O3 Adv                        	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1](NegBar[SLASH O1](Neg"Not")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]"(PP"P""O3")"Adv"))))))))        611	
4462	DEC	O1 S Aux Not Verb P O3                            	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1](NegBar[SLASH O1](Neg"Not")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]"(PP"P""O3")))))))))        611	
4463	DEC	O1 S Aux Not Verb                                 	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1](NegBar[SLASH O1](Neg"Not")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]"))))))))        611	
4464	DEC	O1 S Aux Verb Adv                                 	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""Adv"))))))        611	
4465	DEC	O1 S Aux Verb O2 Adv                              	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""O2""Adv"))))))        611	
4466	DEC	O1 S Aux Verb O2 P O3 Adv                         	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""O2"(PP"P""O3")"Adv"))))))        611	
4467	DEC	O1 S Aux Verb O2 P O3                             	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""O2"(PP"P""O3")))))))        611	
4468	DEC	O1 S Aux Verb O2                                  	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""O2"))))))        611	
4469	DEC	O1 S Aux Verb P O3 Adv                            	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]"(PP"P""O3")"Adv"))))))        611	
4470	DEC	O1 S Aux Verb P O3                                	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]"(PP"P""O3")))))))        611	
4471	DEC	O1 S Aux Verb                                     	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]"))))))        611	
4496	DEC	O1 S Never Verb Adv                               	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](NegP[+FIN][SLASH O1]"Never"(Negbar[+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]""Adv"))))))))        611	
4497	DEC	O1 S Never Verb O2 Adv                            	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](NegP[+FIN][SLASH O1]"Never"(Negbar[+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]""O2""Adv"))))))))        611	
4498	DEC	O1 S Never Verb O2 P O3 Adv                       	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](NegP[+FIN][SLASH O1]"Never"(Negbar[+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]""O2"(PP"P""O3")"Adv"))))))))        611	
4499	DEC	O1 S Never Verb O2 P O3                           	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](NegP[+FIN][SLASH O1]"Never"(Negbar[+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]""O2"(PP"P""O3")))))))))        611	
4500	DEC	O1 S Never Verb O2                                	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](NegP[+FIN][SLASH O1]"Never"(Negbar[+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]""O2"))))))))        611	
4501	DEC	O1 S Never Verb P O3 Adv                          	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](NegP[+FIN][SLASH O1]"Never"(Negbar[+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]"(PP"P""O3")"Adv"))))))))        611	
4502	DEC	O1 S Never Verb P O3                              	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](NegP[+FIN][SLASH O1]"Never"(Negbar[+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]"(PP"P""O3")))))))))        611	
4503	DEC	O1 S Never Verb                                   	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](NegP[+FIN][SLASH O1]"Never"(Negbar[+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]"))))))))        611	
4552	DEC	O1 S Verb Adv                                     	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]""Adv"))))))        611	
4553	DEC	O1 S Verb O2 Adv                                  	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]""O2""Adv"))))))        611	
4554	DEC	O1 S Verb O2 P O3 Adv                             	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]""O2"(PP"P""O3")"Adv"))))))        611	
4555	DEC	O1 S Verb O2 P O3                                 	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]""O2"(PP"P""O3")))))))        611	
4556	DEC	O1 S Verb O2                                      	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]""O2"))))))        611	
4557	DEC	O1 S Verb P O3 Adv                                	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]"(PP"P""O3")"Adv"))))))        611	
4558	DEC	O1 S Verb P O3                                    	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]"(PP"P""O3")))))))        611	
4559	DEC	O1 S Verb                                         	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](VP[+FIN][SLASH O1](Vbar[+FIN][SLASH O1](V[+FIN]"Verb[+FIN]")"O1[+NULL][SLASH O1]"))))))        611	
8384	DEC	O2 S Aux Never Verb O1 Adv                        	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O2]"Never"(Negbar[SLASH O2](VP[SLASH O2](Vbar[SLASH O2](V"Verb")"O1""O2[+NULL][SLASH O2]""Adv"))))))))        611	
8385	DEC	O2 S Aux Never Verb O1 P O3 Adv                   	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O2]"Never"(Negbar[SLASH O2](VP[SLASH O2](Vbar[SLASH O2](V"Verb")"O1""O2[+NULL][SLASH O2]"(PP"P""O3")"Adv"))))))))        611	
8386	DEC	O2 S Aux Never Verb O1 P O3                       	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O2]"Never"(Negbar[SLASH O2](VP[SLASH O2](Vbar[SLASH O2](V"Verb")"O1""O2[+NULL][SLASH O2]"(PP"P""O3")))))))))        611	
8387	DEC	O2 S Aux Never Verb O1                            	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O2]"Never"(Negbar[SLASH O2](VP[SLASH O2](Vbar[SLASH O2](V"Verb")"O1""O2[+NULL][SLASH O2]"))))))))        611	
8388	DEC	O2 S Aux Not Verb O1 Adv                          	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O2](NegBar[SLASH O2](Neg"Not")(VP[SLASH O2](Vbar[SLASH O2](V"Verb")"O1""O2[+NULL][SLASH O2]""Adv"))))))))        611	
8389	DEC	O2 S Aux Not Verb O1 P O3 Adv                     	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O2](NegBar[SLASH O2](Neg"Not")(VP[SLASH O2](Vbar[SLASH O2](V"Verb")"O1""O2[+NULL][SLASH O2]"(PP"P""O3")"Adv"))))))))        611	
8390	DEC	O2 S Aux Not Verb O1 P O3                         	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O2](NegBar[SLASH O2](Neg"Not")(VP[SLASH O2](Vbar[SLASH O2](V"Verb")"O1""O2[+NULL][SLASH O2]"(PP"P""O3")))))))))        611	
8391	DEC	O2 S Aux Not Verb O1                              	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O2](NegBar[SLASH O2](Neg"Not")(VP[SLASH O2](Vbar[SLASH O2](V"Verb")"O1""O2[+NULL][SLASH O2]"))))))))        611	
8392	DEC	O2 S Aux Verb O1 Adv                              	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH O2](Vbar[SLASH O2](V"Verb")"O1""O2[+NULL][SLASH O2]""Adv"))))))        611	
8393	DEC	O2 S Aux Verb O1 P O3 Adv                         	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH O2](Vbar[SLASH O2](V"Verb")"O1""O2[+NULL][SLASH O2]"(PP"P""O3")"Adv"))))))        611	
8394	DEC	O2 S Aux Verb O1 P O3                             	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH O2](Vbar[SLASH O2](V"Verb")"O1""O2[+NULL][SLASH O2]"(PP"P""O3")))))))        611	
8395	DEC	O2 S Aux Verb O1                                  	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](I[ILLOC DEC][+FIN]"Aux[+FIN]")(VP[SLASH O2](Vbar[SLASH O2](V"Verb")"O1""O2[+NULL][SLASH O2]"))))))        611	
8408	DEC	O2 S Never Verb O1 Adv                            	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](NegP[+FIN][SLASH O2]"Never"(Negbar[+FIN][SLASH O2](VP[+FIN][SLASH O2](Vbar[+FIN][SLASH O2](V[+FIN]"Verb[+FIN]")"O1""O2[+NULL][SLASH O2]""Adv"))))))))        611	
8409	DEC	O2 S Never Verb O1 P O3 Adv                       	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](NegP[+FIN][SLASH O2]"Never"(Negbar[+FIN][SLASH O2](VP[+FIN][SLASH O2](Vbar[+FIN][SLASH O2](V[+FIN]"Verb[+FIN]")"O1""O2[+NULL][SLASH O2]"(PP"P""O3")"Adv"))))))))        611	
8410	DEC	O2 S Never Verb O1 P O3                           	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](NegP[+FIN][SLASH O2]"Never"(Negbar[+FIN][SLASH O2](VP[+FIN][SLASH O2](Vbar[+FIN][SLASH O2](V[+FIN]"Verb[+FIN]")"O1""O2[+NULL][SLASH O2]"(PP"P""O3")))))))))        611	
8411	DEC	O2 S Never Verb O1                                	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](NegP[+FIN][SLASH O2]"Never"(Negbar[+FIN][SLASH O2](VP[+FIN][SLASH O2](Vbar[+FIN][SLASH O2](V[+FIN]"Verb[+FIN]")"O1""O2[+NULL][SLASH O2]"))))))))        611	
8436	DEC	O2 S Verb O1 Adv                                  	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](VP[+FIN][SLASH O2](Vbar[+FIN][SLASH O2](V[+FIN]"Verb[+FIN]")"O1""O2[+NULL][SLASH O2]""Adv"))))))        611	
8437	DEC	O2 S Verb O1 P O3 Adv                             	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](VP[+FIN][SLASH O2](Vbar[+FIN][SLASH O2](V[+FIN]"Verb[+FIN]")"O1""O2[+NULL][SLASH O2]"(PP"P""O3")"Adv"))))))        611	
8438	DEC	O2 S Verb O1 P O3                                 	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](VP[+FIN][SLASH O2](Vbar[+FIN][SLASH O2](V[+FIN]"Verb[+FIN]")"O1""O2[+NULL][SLASH O2]"(PP"P""O3")))))))        611	
8439	DEC	O2 S Verb O1                                      	(CP[ILLOC DEC][+FIN]"O2[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O2](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O2]"S"(Ibar[ILLOC DEC][+FIN][SLASH O2](VP[+FIN][SLASH O2](Vbar[+FIN][SLASH O2](V[+FIN]"Verb[+FIN]")"O1""O2[+NULL][SLASH O2]"))))))        611	
10896	DEC	O3 S Aux Never Verb O1 O2 P Adv                   	(CP[ILLOC DEC][+FIN]"O3[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O3](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O3]"S"(Ibar[ILLOC DEC][+FIN][SLASH O3](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O3]"Never"(Negbar[SLASH O3](VP[SLASH O3](Vbar[SLASH O3](V"Verb")"O1""O2"(PP[SLASH O3]"P""O3[+NULL][SLASH O3]")"Adv"))))))))        611	
10897	DEC	O3 S Aux Never Verb O1 O2 P                       	(CP[ILLOC DEC][+FIN]"O3[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O3](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O3]"S"(Ibar[ILLOC DEC][+FIN][SLASH O3](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O3]"Never"(Negbar[SLASH O3](VP[SLASH O3](Vbar[SLASH O3](V"Verb")"O1""O2"(PP[SLASH O3]"P""O3[+NULL][SLASH O3]")))))))))        611	
