BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
2688	DEC	Adv[+WA] S Aux Never Verb                         	
2689	DEC	Adv[+WA] S Aux Never Verb O1                      	
2690	DEC	Adv[+WA] S Aux Never Verb O1 O2                   	
2691	DEC	Adv[+WA] S Aux Never Verb O1 O2 P O3              	
2692	DEC	Adv[+WA] S Aux Never Verb O1 P O3                 	
2693	DEC	Adv[+WA] S Aux Never Verb P O3                    	
2694	DEC	Adv[+WA] S Aux Not Verb                           	
2695	DEC	Adv[+WA] S Aux Not Verb O1                        	
2696	DEC	Adv[+WA] S Aux Not Verb O1 O2                     	
2697	DEC	Adv[+WA] S Aux Not Verb O1 O2 P O3                	
2698	DEC	Adv[+WA] S Aux Not Verb O1 P O3                   	
2699	DEC	Adv[+WA] S Aux Not Verb P O3                      	
2700	DEC	Adv[+WA] S Aux Verb                               	
2701	DEC	Adv[+WA] S Aux Verb O1                            	
2702	DEC	Adv[+WA] S Aux Verb O1 O2                         	
2703	DEC	Adv[+WA] S Aux Verb O1 O2 P O3                    	
2704	DEC	Adv[+WA] S Aux Verb O1 P O3                       	
2705	DEC	Adv[+WA] S Aux Verb P O3                          	
6944	DEC	O1[+WA] S Aux Never Verb Adv                      	
6945	DEC	O1[+WA] S Aux Never Verb O2 Adv                   	
6946	DEC	O1[+WA] S Aux Never Verb O2 P O3 Adv              	
6947	DEC	O1[+WA] S Aux Never Verb O2 P O3                  	
6948	DEC	O1[+WA] S Aux Never Verb O2                       	
6949	DEC	O1[+WA] S Aux Never Verb P O3 Adv                 	
6950	DEC	O1[+WA] S Aux Never Verb P O3                     	
6951	DEC	O1[+WA] S Aux Never Verb                          	
6952	DEC	O1[+WA] S Aux Not Verb Adv                        	
6953	DEC	O1[+WA] S Aux Not Verb O2 Adv                     	
6954	DEC	O1[+WA] S Aux Not Verb O2 P O3 Adv                	
6955	DEC	O1[+WA] S Aux Not Verb O2 P O3                    	
6956	DEC	O1[+WA] S Aux Not Verb O2                         	
6957	DEC	O1[+WA] S Aux Not Verb P O3 Adv                   	
6958	DEC	O1[+WA] S Aux Not Verb P O3                       	
6959	DEC	O1[+WA] S Aux Not Verb                            	
6960	DEC	O1[+WA] S Aux Verb Adv                            	
6961	DEC	O1[+WA] S Aux Verb O2 Adv                         	
6962	DEC	O1[+WA] S Aux Verb O2 P O3 Adv                    	
6963	DEC	O1[+WA] S Aux Verb O2 P O3                        	
6964	DEC	O1[+WA] S Aux Verb O2                             	
6965	DEC	O1[+WA] S Aux Verb P O3 Adv                       	
6966	DEC	O1[+WA] S Aux Verb P O3                           	
6967	DEC	O1[+WA] S Aux Verb                                	
9632	DEC	O2[+WA] S Aux Never Verb O1 Adv                   	
9633	DEC	O2[+WA] S Aux Never Verb O1 P O3 Adv              	
9634	DEC	O2[+WA] S Aux Never Verb O1 P O3                  	
9635	DEC	O2[+WA] S Aux Never Verb O1                       	
9636	DEC	O2[+WA] S Aux Not Verb O1 Adv                     	
9637	DEC	O2[+WA] S Aux Not Verb O1 P O3 Adv                	
9638	DEC	O2[+WA] S Aux Not Verb O1 P O3                    	
9639	DEC	O2[+WA] S Aux Not Verb O1                         	
9640	DEC	O2[+WA] S Aux Verb O1 Adv                         	
9641	DEC	O2[+WA] S Aux Verb O1 P O3 Adv                    	
9642	DEC	O2[+WA] S Aux Verb O1 P O3                        	
9643	DEC	O2[+WA] S Aux Verb O1                             	
17462	DEC	S[+WA] Aux Never Verb Adv                         	
17463	DEC	S[+WA] Aux Never Verb O1 Adv                      	
17464	DEC	S[+WA] Aux Never Verb O1 O2 Adv                   	
17465	DEC	S[+WA] Aux Never Verb O1 O2 P O3 Adv              	
17466	DEC	S[+WA] Aux Never Verb O1 O2 P O3                  	
17467	DEC	S[+WA] Aux Never Verb O1 O2                       	
17468	DEC	S[+WA] Aux Never Verb O1 P O3 Adv                 	
17469	DEC	S[+WA] Aux Never Verb O1 P O3                     	
17470	DEC	S[+WA] Aux Never Verb O1                          	
17471	DEC	S[+WA] Aux Never Verb P O3 Adv                    	
17472	DEC	S[+WA] Aux Never Verb P O3                        	
17473	DEC	S[+WA] Aux Never Verb                             	
17474	DEC	S[+WA] Aux Not Verb Adv                           	
17475	DEC	S[+WA] Aux Not Verb O1 Adv                        	
17476	DEC	S[+WA] Aux Not Verb O1 O2 Adv                     	
17477	DEC	S[+WA] Aux Not Verb O1 O2 P O3 Adv                	
17478	DEC	S[+WA] Aux Not Verb O1 O2 P O3                    	
17479	DEC	S[+WA] Aux Not Verb O1 O2                         	
17480	DEC	S[+WA] Aux Not Verb O1 P O3 Adv                   	
17481	DEC	S[+WA] Aux Not Verb O1 P O3                       	
17482	DEC	S[+WA] Aux Not Verb O1                            	
17483	DEC	S[+WA] Aux Not Verb P O3 Adv                      	
17484	DEC	S[+WA] Aux Not Verb P O3                          	
17485	DEC	S[+WA] Aux Not Verb                               	
17486	DEC	S[+WA] Aux Verb Adv                               	
17487	DEC	S[+WA] Aux Verb O1 Adv                            	
17488	DEC	S[+WA] Aux Verb O1 O2 Adv                         	
17489	DEC	S[+WA] Aux Verb O1 O2 P O3 Adv                    	
17490	DEC	S[+WA] Aux Verb O1 O2 P O3                        	
17491	DEC	S[+WA] Aux Verb O1 O2                             	
17492	DEC	S[+WA] Aux Verb O1 P O3 Adv                       	
17493	DEC	S[+WA] Aux Verb O1 P O3                           	
17494	DEC	S[+WA] Aux Verb O1                                	
17495	DEC	S[+WA] Aux Verb P O3 Adv                          	
17496	DEC	S[+WA] Aux Verb P O3                              	
17497	DEC	S[+WA] Aux Verb                                   	
23164	DEC	P[+WA] O3 S Aux Never Verb O1 O2 Adv              	
23165	DEC	P[+WA] O3 S Aux Never Verb O1 O2                  	
23166	DEC	P[+WA] O3 S Aux Never Verb O1 Adv                 	
23167	DEC	P[+WA] O3 S Aux Never Verb O1                     	
23168	DEC	P[+WA] O3 S Aux Never Verb Adv                    	
23169	DEC	P[+WA] O3 S Aux Never Verb                        	
23170	DEC	P[+WA] O3 S Aux Not Verb O1 O2 Adv                	
23171	DEC	P[+WA] O3 S Aux Not Verb O1 O2                    	
23172	DEC	P[+WA] O3 S Aux Not Verb O1 Adv                   	
23173	DEC	P[+WA] O3 S Aux Not Verb O1                       	
23174	DEC	P[+WA] O3 S Aux Not Verb Adv                      	
23175	DEC	P[+WA] O3 S Aux Not Verb                          	
23176	DEC	P[+WA] O3 S Aux Verb O1 O2 Adv                    	
23177	DEC	P[+WA] O3 S Aux Verb O1 O2                        	
23178	DEC	P[+WA] O3 S Aux Verb O1 Adv                       	
23179	DEC	P[+WA] O3 S Aux Verb O1                           	
23180	DEC	P[+WA] O3 S Aux Verb Adv                          	
